,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
436_UCR_id_134_Medical_tr_1875_1st_4526.csv,0.632499702647038,0.9987194931512962,0.9397936960182748,0.9998023304820775,0.769226035532089,0.9999999999999996,0.9999999999999991,0.7499999999999999,0.6666693314054432
437_UCR_id_135_Medical_tr_2499_1st_8000.csv,0.43848577585745147,0.998536047327785,0.4617632846453106,0.9983851910615487,0.6575297429469661,0.8474576271186436,0.39999999999999963,0.659400544959128,0.6672742859249768
307_UCR_id_5_Facility_tr_29895_1st_39240.csv,0.0006679774007706232,0.43237501115909527,0.0008639909016419728,0.5050432627674689,0.0023758610392021428,0.005031842125953292,0.00021067600663629397,0.0012617651070795253,0.666662508696893
331_UCR_id_29_Facility_tr_50000_1st_837400.csv,0.002566854382245944,0.5810290201753641,0.0026461841537659585,0.5876742235241449,0.01108842265271272,0.3214826021180027,0.001669449081803003,0.06207906295754026,0.6688505193406967
332_UCR_id_30_Facility_tr_13750_1st_52600.csv,0.6861041715944042,0.9985877737226277,0.6559127443826293,0.9986928587297647,0.7710793439138872,0.9999999999999996,0.9999999999999993,0.48230088495575224,0.6666680991576898
349_UCR_id_47_Facility_tr_29954_1st_74900.csv,0.0004947593132619771,0.19341747895837336,0.0005707875701357242,0.20619960042701602,0.0019004818744050456,0.0020690992952130498,8.638375985314753e-05,0.03404148720994978,0.6664231585229631
358_UCR_id_56_Facility_tr_10500_1st_29080.csv,0.012351085239521073,0.9449320457796851,0.014858311383547207,0.944895693005452,0.03607015642485464,0.058765915768854,0.003112033195020743,0.2329317269076305,0.8281747622978547
406_UCR_id_104_Facility_tr_20000_1st_67950.csv,0.9478583991181976,0.9995131285266459,0.6785528224864626,0.9989958490823072,0.9451426943950718,0.9999999999999996,0.9999999999999993,0.9530988274706869,0.5993139913343553
419_UCR_id_117_Facility_tr_3000_1st_6168.csv,0.953349047692133,0.9998023054229144,0.9798309701407574,0.9999496057829025,0.8571379592116616,0.9999999999999996,0.9999999999999991,0.865979381443299,0.666668197513798
420_UCR_id_118_Facility_tr_13750_1st_52600.csv,0.8896815899137457,0.9995527372262774,0.8803188871564853,0.9996578976565956,0.809711780257826,0.9999999999999996,0.9999999999999993,0.8080808080808081,0.651431379104149
432_UCR_id_130_Facility_tr_23000_1st_26970.csv,0.10985161883917514,0.9872876772082879,0.1889704706126474,0.9872621555558295,0.32930570140901455,0.3434459072696047,0.008643042350907511,0.6636771300448431,0.6529382367436175
452_UCR_id_150_Facility_tr_10000_1st_35774.csv,0.9406836031404622,0.9998318295739349,0.821456167908133,0.999639673163936,0.8368152168487388,0.9999999999999996,0.9999999999999993,0.847926267281106,0.6664725657053013
471_UCR_id_169_Facility_tr_10000_1st_35774.csv,0.9852544726893597,0.9999568922305765,0.7161276691127173,0.9994271724909852,0.9282246743703692,0.9999999999999996,0.9999999999999993,0.940677966101695,0.6667140686735376
494_UCR_id_192_Facility_tr_22500_1st_72150.csv,0.20398691216316212,0.9876925961758399,0.22725184747805247,0.990827041629431,0.4150570792905405,0.7403433476394845,0.03968253968253964,0.359508547008547,0.6868604615529498
500_UCR_id_198_Facility_tr_7482_1st_23357.csv,0.028417521383279847,0.7976043533642194,0.031736432779486144,0.7984147534723725,0.09926832447737402,0.11686414543093641,0.001834525775087138,0.16923076923076924,0.6667265143560922
517_UCR_id_215_Facility_tr_7482_1st_24005.csv,0.29543613865867097,0.9971691021876895,0.3274242354100254,0.9972940484168491,0.4884748285564645,0.8135593220338978,0.15384615384615366,0.4757548032936871,0.6666647940550704
525_UCR_id_223_Facility_tr_50000_1st_250720.csv,0.3754915885971687,0.8263934303979099,0.10484795453716424,0.8312488542440529,0.46135726214291667,0.9999999999999996,0.9999999999999993,0.6087328767123287,0.6684442764846593
310_UCR_id_8_HumanActivity_tr_2631_1st_8285.csv,0.2815035770658187,0.9452830188679244,0.20256832531025917,0.9612804593342468,0.355551111166666,0.9999999999999996,0.9999999999999991,0.498159509202454,0.6665719977470821
311_UCR_id_9_HumanActivity_tr_16000_1st_38400.csv,0.6190521790210582,0.9866712223101265,0.5982449128494178,0.9890169177119794,0.5787948283720383,0.9999999999999996,0.9999999999999993,0.44115354637568205,0.6761711551490709
315_UCR_id_13_HumanActivity_tr_16000_1st_33070.csv,0.18128444959173448,0.9958703168798644,0.22326374435109198,0.9966934932712135,0.36144188710833336,0.6528189910979224,0.06399999999999993,0.3738019169329073,0.6629816902030771
334_UCR_id_32_HumanActivity_tr_1671_1st_2764.csv,0.0177681272208951,0.042943213096630115,0.020941993823199213,0.0850400864578504,0.06681063403864364,0.08718626155878459,0.001651186790505674,0.29086815721258,0.655569731462612
341_UCR_id_39_HumanActivity_tr_48812_1st_128430.csv,9.289967763811859e-06,0.4486937193020195,2.421659455767868e-05,0.5465954442408636,1.857957712817985e-05,1.8579762922225093e-05,1.8579762922225093e-05,3.2756276921565095e-05,0.667322141390555
355_UCR_id_53_HumanActivity_tr_48750_1st_143411.csv,0.9961983087484093,0.9999979989738328,0.2034909539522126,0.9983977786397233,0.9615334689608341,0.9999999999999996,0.9999999999999993,0.9618873151333721,0.6619944742802415
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,0.4413801572649857,0.9808563657337138,0.4694240131071474,0.9896368108827642,0.5212152543222012,0.963676797627872,0.16949152542372864,0.38546044411842756,0.6763718077614745
401_UCR_id_99_HumanActivity_tr_1671_1st_5920.csv,0.8929354179591524,0.9991941157659098,0.9773779834769876,0.9998640844043708,0.8550675688160915,0.9999999999999996,0.9999999999999991,0.8542146417997317,0.735265720761554
421_UCR_id_119_HumanActivity_tr_48750_1st_130700.csv,0.05269992254540866,0.8639397947422822,0.05560345304980597,0.8666441870522558,0.14197294450974915,0.7702349869451691,0.016759776536312825,0.1895291020766306,0.6643048532545626
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,0.19515133671939497,0.8343653923541248,0.22489370675120862,0.8728816706494784,0.4316720420310629,0.8720930232558135,0.1020408163265305,0.49255751014884985,0.6744730594435859
439_UCR_id_137_HumanActivity_tr_48750_1st_110800.csv,0.3333333333333333,0.9999897435371463,0.6595932761403602,0.9993385311011105,0.49999625002812476,0.49999999999999933,0.49999999999999933,0.5,0.6668707073577981
