,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,time
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,0.20978125598783579,0.5265592292076422,0.20920510689265667,0.5316022792464434,0.20783873281152268,0.9999999999999996,0.9999999999999993,0.4448181236717767,0.7644750425054472,0.4502890110015869
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,0.7203434688624617,0.8429974436740373,0.721111775063816,0.8580681108847703,0.6710354881244194,0.9999999999999996,0.9999999999999993,0.561427280939476,0.7181482093690102,0.7368490695953369
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,0.1018302550447513,0.4253765027729915,0.10563420557393158,0.43788698614071786,0.1861539628821278,0.9596774193548382,0.2857142857142854,0.2770137524557957,0.6165865421035027,0.2517111301422119
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,0.8578425400963269,0.9801080095780895,0.8584395322039721,0.9838624845127988,0.7830538282394787,0.9127159946832072,0.8888888888888884,0.7625989134761629,0.6864359167205085,1.2106542587280273
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,0.7788808878105662,0.8406740066545202,0.8071614098447404,0.8716484908948056,0.7972364387083823,0.9999999999999996,0.9999999999999993,0.8305580144639487,0.7775369783662384,0.31499552726745605
009_NAB_id_9_Traffic_tr_500_1st_438.csv,0.2318575659801229,0.8128534704370179,0.25708359961494337,0.8388811608035441,0.41509021240508515,0.7248322147651002,0.046511627906976695,0.564516129032258,0.8162914847361321,0.24445629119873047
010_NAB_id_10_WebService_tr_500_1st_271.csv,0.5388683936835822,0.7713646745336886,0.6331749826737242,0.8391089773593218,0.5055712585993335,0.7967479674796742,0.7999999999999993,0.7071431573343794,0.8440218988881637,0.07235908508300781
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,0.9638350891347813,0.995060550954972,0.9868403589476032,0.9983071767391617,0.9080410193162739,0.9999999999999996,0.9999999999999993,0.90371782650143,0.9888705149784905,0.5853121280670166
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,0.4921986692498692,0.9438140924367334,0.8486569674109964,0.9863564481724205,0.6687355412974338,0.9305816135084423,0.3018867924528299,0.5355718872950125,0.7336441126302716,0.34937429428100586
014_NAB_id_14_WebService_tr_500_1st_1045.csv,0.27364028127418255,0.6298546456393692,0.27250870225135193,0.6341102399434011,0.2814790628465711,0.9999999999999996,0.9999999999999993,0.48000000000000004,0.6601057716636335,0.15713882446289062
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,0.99825772200666,0.9997523180701422,0.9998605572126716,0.9999846989918562,0.9855857791614658,0.9999999999999996,0.9999999999999993,0.984805066004438,0.673821791128071,0.4524199962615967
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,0.3336850280602506,0.8222420872526186,0.3274041907513145,0.8282406238087893,0.39422062245948,0.9705093833780155,0.6666666666666661,0.35776031658889196,0.6933899443154762,0.7693135738372803
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,0.5928546234593368,0.7655707409494276,0.6000361950811282,0.7906559928751644,0.6753625327564009,0.9999999999999996,0.9999999999999993,0.7326607818411097,0.9868324978291313,0.44524240493774414
018_NAB_id_18_Facility_tr_500_1st_669.csv,0.07602836401150342,0.3951659524198514,0.10070590017327022,0.4362577183181567,0.2280149597946861,0.28377358490566007,0.020100502512562776,0.33865713895900135,0.4690692882197681,0.17626023292541504
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,0.24645560820311324,0.5200709171027266,0.24146183354522868,0.5253575592729359,0.2862955909661004,0.9999999999999996,0.9999999999999993,0.405103668261563,0.6715797541005385,0.3730759620666504
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,0.997565737565192,0.9995480754246533,0.9996571362848696,0.9999496915916778,0.9703075044324575,0.9999999999999996,0.9999999999999993,0.970301942537633,0.6908506118618771,0.3907339572906494
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,0.8124881224177108,0.9613111539556995,0.8241074279261968,0.9660005148925057,0.7154924978134419,0.9999999999999996,0.9999999999999993,0.7239267501796236,0.8639597881447793,0.46144819259643555
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,0.6817491709954764,0.9430051500000121,0.688479833877313,0.94320497001731,0.7490457480194124,0.9976689976689972,0.6315789473684205,0.3239449454526697,0.7753702553974052,1.5599782466888428
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,0.9999886299943773,0.9999983377051688,0.9999934411328985,0.9999995169280896,0.998049474752145,0.9999999999999996,0.9999999999999993,0.9980544747081712,0.6942373032388032,0.4207630157470703
025_NAB_id_25_WebService_tr_3958_1st_4614.csv,0.1281973776189001,0.49172689953353205,0.11921379522976772,0.49536154043053787,0.18327413264128536,0.9999999999999996,0.9999999999999993,0.3589530535936851,0.6626526481912731,1.9042541980743408
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,0.16581155321449073,0.4966884586651998,0.16179052359970955,0.4994343210623098,0.1742297418412293,0.9999999999999996,0.9999999999999993,0.39622641509433965,0.6482934119033803,0.2680377960205078
027_NAB_id_27_Facility_tr_757_1st_2582.csv,0.7951783533256783,0.9615047686329918,0.7916156551334331,0.9615028632372442,0.7654273739050993,0.9999999999999996,0.9999999999999993,0.8151658767772512,0.6902184030414089,0.36235833168029785
028_NAB_id_28_Facility_tr_1007_1st_3447.csv,0.8685355440682465,0.9803704397357323,0.9461822189550726,0.9924806392003179,0.7667336863395302,0.9999999999999996,0.9999999999999993,0.728813559322034,0.867717353101829,0.8300597667694092
