file,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
503_UCR_id_201_Facility_tr_50000_1st_593450.csv,0.0002090140116496405,0.8428515219841066,0.0004517842804855392,0.8895062478344374,0.0006427850241348388,0.00014258184532097624,0.00014258184532097608,0.00014270265449234644,0.711619307471719
504_UCR_id_202_Environment_tr_2046_1st_5549.csv,0.3001429623170917,0.8284476401179941,0.2512488688157857,0.8702347970812063,0.4175774327367197,1.0,0.9999999999999996,0.3561643835616438,0.9983611228507661
505_UCR_id_203_HumanActivity_tr_16000_1st_33070.csv,0.0030168639338982507,0.6293020674739254,0.0035298878884424,0.7044981488079641,0.013556289101421377,0.6626506024096386,0.01754385964912279,0.02109158186864015,0.7342940594305669
506_UCR_id_204_Environment_tr_2046_1st_5549.csv,0.24220724613782185,0.8112785766961652,0.17430992637382933,0.8579188104076043,0.35713795925084457,1.0,0.9999999999999996,0.3561643835616438,0.9990655223615333
507_UCR_id_205_HumanActivity_tr_16000_1st_31200.csv,0.01265741730397279,0.548883212919677,0.012855883464587275,0.5631730654998014,0.03111812509244928,0.9818731117824774,0.14285714285714274,0.1003048780487805,0.728264256597636
508_UCR_id_206_Medical_tr_9567_1st_16000.csv,0.001953976636901063,0.39475359585003544,0.0022948868639841072,0.4506530867528341,0.005384856462308462,0.0052126772310258545,0.005212677231025849,0.00362030265730215,0.7209909954658957
509_UCR_id_207_Medical_tr_1875_1st_6599.csv,0.0125948607848279,0.5673156266540426,0.021741123020938592,0.7087389873222341,0.03308524629568663,0.1938534278959811,0.033977738722905645,0.021241407824693782,0.7233343044310959
510_UCR_id_208_Facility_tr_50000_1st_126920.csv,0.0027107311412581207,0.5861724067582855,0.0027706562775199946,0.6175020072440088,0.01676149883717102,0.9,0.03846153846153842,0.05486073349042354,0.7232581174083534
511_UCR_id_209_Medical_tr_7500_1st_11800.csv,0.03170497256602029,0.6313632996632996,0.025476357409572496,0.6812250716285372,0.04863039787390601,1.0,0.9999999999999996,0.33887043189368776,0.9986275077357412
512_UCR_id_210_HumanActivity_tr_1671_1st_2764.csv,0.021756631470741732,0.27295334966185736,0.02710845623424727,0.3548203019953036,0.06693647271340268,0.8953488372093024,0.06682094301417407,0.04475443185120604,0.7098294355636452
513_UCR_id_211_Medical_tr_9967_1st_26929.csv,0.03065864906046123,0.5157142259063887,0.021577591234640536,0.6237293977433659,0.06349115647554242,1.0,0.9999999999999996,0.3516483516483517,0.999424256955814
514_UCR_id_212_Medical_tr_2499_1st_6508.csv,0.005213773820563633,0.5133212706071573,0.022644070865075985,0.5754452722759656,0.012491587306311303,0.16447368421052633,0.0117878192534381,0.01460656002585232,0.9949489872842621
