file,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
325_UCR_id_23_Medical_tr_3000_1st_6168.csv,0.0029939031450472936,0.4219258493263177,0.01076086895923101,0.7217588597643215,0.008334484641206558,0.007307149381383376,0.007307149381383367,0.004098742431299487,0.6739657573905192
326_UCR_id_24_Medical_tr_1875_1st_4187.csv,0.00252613210668374,0.660012462723105,0.02173900107060974,0.8926592192373873,0.006475856210995311,0.024096385542168676,0.00613810741687979,0.03290723508387802,0.7157045665154051
327_UCR_id_25_Medical_tr_15000_1st_51370.csv,0.006200284604360918,0.48519688982962506,0.008331606736341805,0.5597147679992432,0.01334302994600317,0.9673202614379085,0.07407407407407399,0.07708161582852432,0.899078901186329
328_UCR_id_26_Medical_tr_1913_1st_3474.csv,0.047368802115933584,0.5262327450111628,0.05981685703623328,0.6074197744285327,0.1328077226449954,0.950920245398773,0.5116279069767438,0.32820512820512815,0.9707324932414001
329_UCR_id_27_Medical_tr_7500_1st_17210.csv,0.19009702824699773,0.7028847116957697,0.05062960751747163,0.7588097043891028,0.29031945893054917,1.0,0.9999999999999996,0.3974358974358974,0.9998449811393713
330_UCR_id_28_Facility_tr_7482_1st_23405.csv,0.002244983423797688,0.4949391770953109,0.003528731148991943,0.6250687676077393,0.005363628723826425,0.08801955990220049,0.0047996800213319065,0.006334819579465439,0.6679832334768906
331_UCR_id_29_Facility_tr_50000_1st_837400.csv,0.0017856164704090798,0.4851684299100916,0.0018235484989300678,0.49262232603626027,0.0039248293140791675,0.0037722032995684157,0.0037722032995684113,0.0025530317251736437,0.6666957116649115
332_UCR_id_30_Facility_tr_13750_1st_52600.csv,0.0033747009910449254,0.4794003649635037,0.0047208105190647024,0.583428730831908,0.007388579747635233,0.11782032400589101,0.007246508088914646,0.01091869680070443,0.9679181817327973
333_UCR_id_31_Facility_tr_7500_1st_13400.csv,0.012054912438017637,0.47156499155405407,0.015243980901459274,0.5349775827157254,0.026812618904824177,0.7332722273143905,0.02631665515313001,0.02888761608640511,0.7034186412724753
334_UCR_id_32_HumanActivity_tr_1671_1st_2764.csv,0.021592190863828544,0.26129126826476895,0.027369406658495785,0.35243407026511986,0.06700590466153696,0.9112426035502958,0.06779661016949144,0.06760968592663631,0.7385361974762432
335_UCR_id_33_Medical_tr_1875_1st_4526.csv,0.002208544077471672,0.11321108285370096,0.012327701303576048,0.6673114320392812,0.008064435809853023,0.015710919088766692,0.007968127490039832,0.019344862858910006,0.7559318654662536
336_UCR_id_34_Facility_tr_32191_1st_124159.csv,0.006843817547007787,0.5076855946368893,0.007345844009142456,0.5318092686249721,0.02163287726946917,0.2551745443311708,0.02233960603059313,0.06936513268390997,0.6820126971531328
337_UCR_id_35_HumanActivity_tr_50000_1st_110260.csv,0.00043537997647093445,0.17511614748261312,0.0006465154742037584,0.3408440005808799,0.001539513541121308,0.003894190738487158,0.001518853265784331,0.0009464531003693281,0.6758490175620941
338_UCR_id_36_Facility_tr_9000_1st_12400.csv,0.010204905662333846,0.4660205471756411,0.012854240294369546,0.5299915057034015,0.022275070891391992,0.5218525766470972,0.021978021978021955,0.026709459004198105,0.6667206372625503
