file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
540_SMAP_id_10_Sensor_tr_2051_1st_4575.csv,unknown,0.9162861619833392,0.9975609003884592,0.9169036027326972,0.9979023250512083,0.8588908051015414,1.0,0.9999999999999996,0.8822115384615385,0.9994279654419004
541_SMAP_id_11_Sensor_tr_1832_1st_5300.csv,unknown,0.4449403931794082,0.6599508883169714,0.4456725064178201,0.695091405554721,0.5158186572994914,1.0,0.9999999999999996,0.6358099878197321,0.9924512563574076
542_SMAP_id_12_Sensor_tr_1908_1st_4690.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,1.0,0.9999999999999996,0.9735099337748344,0.9999957732965322
544_SMAP_id_14_Sensor_tr_1978_1st_4450.csv,unknown,0.98991983078625,0.9998441347922316,0.9937902417863944,0.9999470386144392,0.9389621451035648,1.0,0.9999999999999996,0.950850661625709,0.9999037990276296
545_SMAP_id_15_Sensor_tr_1173_1st_2750.csv,unknown,0.0085756010765582,0.3659384477616983,0.0109811219124617,0.3952565358090779,0.0317358420022767,0.0346938775510204,0.0313653136531364,0.2131474103585657,0.7480795922155726
546_SMAP_id_16_Sensor_tr_2117_1st_4770.csv,unknown,0.8978648793901973,0.997455717606434,0.8989316357149938,0.9982839382113888,0.8490517039264612,1.0,0.9999999999999996,0.8775510204081634,0.99946836788942
547_SMAP_id_17_Sensor_tr_2133_1st_5400.csv,unknown,0.3380560975419527,0.8065517330257683,0.3532201768930266,0.8215510792016623,0.4510119056928031,0.9643962848297212,0.798833819241982,0.3533494266747133,0.8943279494818293
548_SMAP_id_18_Sensor_tr_2094_1st_5600.csv,unknown,0.9774807428358968,0.9998829502392204,0.9857438321030784,0.9999430327669204,0.9111061506442908,1.0,0.9999999999999996,0.911203037343458,0.9998820533206352
549_SMAP_id_19_Sensor_tr_1998_1st_2098.csv,unknown,0.8668187556553253,0.9967397778180592,0.9256684736875946,0.998421259470346,0.791902534696689,1.0,0.9999999999999996,0.8332171539563452,0.9977149803968288
550_SWaT_id_1_Sensor_tr_43700_1st_43800.csv,unknown,0.2067845026596195,0.6801838735653349,0.2071726418083089,0.6755562879189619,0.3903320056104639,0.6785500343351402,0.4091256868609581,0.1480300117038507,0.7049881413459483
551_YAHOO_id_1_Synthetic_tr_500_1st_893.csv,unknown,0.0256410256410256,0.9732394366197182,0.4635549929905648,0.992896959164842,0.049999512504753,0.05,0.0499999999999999,0.05,0.9864479315263904
552_YAHOO_id_2_Synthetic_tr_500_1st_893.csv,unknown,0.5,0.9992957746478872,0.3264183259559617,0.9982243494760842,0.6666622222518517,0.1333333333333333,0.1333333333333332,0.2222222222222222,0.6665362601662547
555_YAHOO_id_5_WebService_tr_500_1st_730.csv,unknown,0.333183408295852,0.9887380668257756,0.6439281010794025,0.99404981422384,0.3999968000255998,0.4,0.3999999999999996,0.5372424722662441,0.9850258519914902
558_YAHOO_id_8_WebService_tr_500_1st_1125.csv,unknown,0.3247883310087251,0.7644116555308093,0.194942917786151,0.443630905899622,0.3452331066480484,0.9937106918238994,0.6666666666666662,0.2870036101083033,0.6671315027215011
562_YAHOO_id_12_Synthetic_tr_500_1st_893.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,0.25,0.2499999999999997,0.25,0.9983888832947332
570_YAHOO_id_20_Synthetic_tr_500_1st_658.csv,unknown,0.5892857142857143,0.9943542695836274,0.939773593594054,0.9994770806319062,0.6666622222518517,0.5714285714285715,0.571428571428571,0.5714285714285715,0.9962049199481302
571_YAHOO_id_21_Synthetic_tr_500_1st_623.csv,unknown,0.0069611279913321,0.5086559647466163,0.0252754033131568,0.5328335553524277,0.0219776977466019,0.022140221402214,0.0215053763440859,0.1946656554165086,0.6962475684952104
579_YAHOO_id_29_WebService_tr_500_1st_1342.csv,unknown,0.0016339869281045,0.6429422275163788,0.0052093152734488,0.7587558930630897,0.0032626101677418,0.0031595576619273,0.0031595576619273,0.002919708029197,0.7078558842051642
603_YAHOO_id_53_Synthetic_tr_500_1st_893.csv,unknown,0.0010775862068965,0.3471830985915493,0.0032245180215844,0.3745051459206484,0.0021528310244651,0.0020325203252032,0.0020325203252032,0.0075187969924812,0.6690711194275016
644_YAHOO_id_94_WebService_tr_500_1st_1078.csv,unknown,0.5224324971502095,0.960906862745098,0.6484312429291489,0.9710253603536654,0.6702654492676927,0.7589743589743589,0.6593406593406589,0.4584649610678532,0.8885230192545934
645_YAHOO_id_95_WebService_tr_500_1st_1047.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,1.0,0.9999999999999996,1.0,0.9999999999999996
649_YAHOO_id_99_WebService_tr_500_1st_1386.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,0.4,0.3999999999999996,0.4,0.999404407385348
657_YAHOO_id_107_WebService_tr_500_1st_1260.csv,unknown,0.0056179775280898,0.876997915218902,0.0197019306522339,0.897433883154956,0.0111730732510034,0.0108695652173913,0.0108695652173912,0.0108695652173913,0.9455567567567562
658_YAHOO_id_108_Synthetic_tr_500_1st_893.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,0.4,0.3999999999999996,0.4,0.9992957746478868
672_YAHOO_id_122_WebService_tr_500_1st_857.csv,unknown,0.0416666666666666,0.9931506849315068,0.3118168614043576,0.9950730649229026,0.0799992320073727,0.0799999999999999,0.0799999999999999,0.0799999999999999,0.9946741667165334
680_YAHOO_id_130_Synthetic_tr_500_1st_893.csv,unknown,0.00625,0.8880281690140845,0.0062499999999999,0.8897887323943652,0.0124222367976467,0.0120481927710843,0.0120481927710843,0.2857142857142857,0.7255951733884113
689_YAHOO_id_139_WebService_tr_500_1st_1073.csv,unknown,1.0,1.0,1.0,1.0,0.999995000025,1.0,0.9999999999999996,1.0,0.9999999999999996
693_YAHOO_id_143_WebService_tr_500_1st_1003.csv,unknown,0.5058823529411764,0.9410526315789474,0.4760888045891646,0.9414359315879686,0.6666622222518517,0.6666666666666666,0.6666666666666662,0.6666666666666666,0.7608187797289696
701_YAHOO_id_151_Synthetic_tr_500_1st_893.csv,unknown,0.0010121457489878,0.3049295774647887,0.0023373270457421,0.3795691837134493,0.0020222244898099,0.001669449081803,0.001669449081803,0.0016570008285004,0.6811184186354112
