file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,5.11421275138855,0.0019758531706495987,0.22872850958565247,0.0034345968574615647,0.36137414092855047,0.006806991672387989,0.008500510030601838,0.006685236768802221,0.04516599780187519,0.6694887981515901
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1.070039987564087,0.004959552905511629,0.37154585502603127,0.024920816356129562,0.7580154076749788,0.016479237314530302,0.026474127557160047,0.016467065868263454,0.05357142857142856,0.7765865211398789
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,0.9944217205047607,0.05707651882940533,0.4882187703913548,0.06804704916785786,0.5252467931352205,0.14745441326299752,0.46623093681917216,0.1477073853692683,0.27259669713849194,0.7895923321214532
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,0.9526183605194092,0.01741813156770651,0.44197863996872916,0.024198508044644764,0.5287520389218833,0.046012939313162984,0.10274963820549927,0.04549082202713482,0.15859938208032956,0.8594985819823988
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,1.1803438663482666,0.05386992929139168,0.287133221332443,0.05549712706530868,0.29307014600849624,0.1544626973626575,0.3261372397841172,0.15415525114155237,0.7251772633133233,0.7746500547795682
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,1.2440009117126465,0.6337895142250113,0.78611782846084,0.8644052684971406,0.92765849476135,0.6666616897567096,1.0,0.9999999999999996,0.6903985219217211,0.9906043791689068
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,0.9186215400695801,0.04752357198505141,0.14251704888409011,0.07386127365325448,0.25217426645667257,0.15595219749027606,0.1781701444622793,0.15536028119507894,0.7145435203604331,0.6848425309292236
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,0.9354300498962402,0.010350213497633187,0.6502057613168724,0.0179305824489282,0.7193533002020154,0.03108765714561986,0.05048076923076923,0.030364372469635595,0.12875536480686697,0.8113467759753641
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,0.8646345138549805,0.026449773907866764,0.4637006450219955,0.03960646479007082,0.5727580124037516,0.0728469495380895,0.24731182795698922,0.07296849087893856,0.14414418422441289,0.6682552074497164
012_MSL_id_11_Sensor_tr_539_1st_940.csv,0.9505925178527832,0.08968189038728736,0.7275661872756619,0.17927209297973817,0.8506584007347011,0.17292925474689916,0.9665071770334929,0.24999999999999975,0.21692853522554487,0.7738783504150916
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,0.9306097030639648,0.009438013451072876,0.39309025828186417,0.014264922347060524,0.4985799657646195,0.03080683199968496,0.051181102362204724,0.030339805825242688,0.09832012678288429,0.6666518435706014
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,1.3436670303344727,0.375252400319042,0.8716876730894703,0.37968091993548025,0.8865134925574812,0.4303761377574813,1.0,0.9999999999999996,0.570300157977883,0.9945424261934396
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,1.0917994976043701,0.10100259603707366,0.39243978612749375,0.10267918400482097,0.3964785628912278,0.23261000008087251,0.8026666666666666,0.2326120556414217,0.48479268664351055,0.6906123482686066
016_MSL_id_15_Sensor_tr_500_1st_780.csv,0.9779009819030762,0.2191833226131501,0.6198461091753775,0.20654999390032533,0.5985368300665022,0.35964412441542104,0.8140703517587939,0.48120300751879647,0.6482714874722487,0.8826886910517229
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,0.9874873161315918,0.9131996027149534,0.9953180640505401,0.9785560643190608,0.9989748916824354,0.9526265901923303,1.0,0.9999999999999996,0.9526315789473685,0.995588235294117
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,15.24388575553894,0.3119727052539166,0.9244680564913996,0.34043211888578245,0.9240005941309554,0.43195081996182405,0.6887052341597797,0.503639164851511,0.39308249660509326,0.8620387928064737
019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,10.876970767974854,0.22029340098372927,0.5583896347158819,0.21965570488633976,0.559073211844339,0.3133331708931321,1.0,0.9999999999999996,0.35317251081062045,0.9644156843040821
020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,29.703810214996338,0.01817436174944071,0.7364963359222761,0.017000926633249428,0.7453214381664662,0.11561733183676391,0.4257659073055774,0.13367463026166074,0.1998375304630382,0.7051870635339972
021_MITDB_id_3_Medical_tr_50000_1st_57595.csv,29.831234455108643,0.011829546857215698,0.3268182068385474,0.014091411158910582,0.37840381211716473,0.034740919019447085,0.07119617224880383,0.03462989058762715,0.03292897497257396,0.6740279034323694
022_MITDB_id_4_Medical_tr_50000_1st_54253.csv,51.42189955711365,0.05341872417470375,0.4615503062046412,0.047497976743719625,0.47530086953825157,0.08532010272000434,0.5082703696140494,0.2628342072894408,0.1096130102476031,0.798940161133567
024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,17.47002387046814,0.4429301550406323,0.7013790459140552,0.10626837139614422,0.7422639062004971,0.5908142004508431,1.0,0.9999999999999996,0.6974169741697417,0.9997827219223048
025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,14.626607894897461,0.295449799634699,0.8974902168434556,0.32501706888107806,0.9369118052099319,0.5357487498697329,0.8575406032482599,0.6267344415441677,0.5907513717640711,0.971412074553621
026_MITDB_id_8_Medical_tr_30495_1st_30595.csv,24.9128520488739,0.2596157108363921,0.6314403332255236,0.2424360276424477,0.632132107050494,0.2825411526738435,0.9601394449020246,0.8859991659400229,0.4028405013207933,0.9231066724138982
