,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,Time
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,0.018132850516153428,0.9154372294372295,0.026547886202668916,0.9134566324733673,0.048709271717172056,0.099547511312217,0.010582010582010552,0.09223300970873786,0.6989669140347538,4.963862657546997
002_MSL_id_1_Sensor_tr_500_1st_900.csv,1.0,1.0,0.9957846175777311,0.9999825811238384,0.9999950000249999,0.9999999999999993,0.9999999999999991,1.0,0.6770163323117866,1.0015532970428467
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,0.1078994381233363,0.6591003135295148,0.13480538929533367,0.6960192063856336,0.22031716793040845,0.45531914893616976,0.05442176870748289,0.2587917042380523,0.6844556748051477,1.9703986644744873
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,0.09474587716788302,0.8931494067358493,0.1036644720160993,0.9039590489473704,0.19047313951864925,0.6255506607929511,0.06593406593406585,0.2748344370860927,0.6250844873176175,1.5697674751281738
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,0.05170024313022828,0.23949353544542304,0.07328669202122347,0.33723009787943736,0.16392021574504514,0.36404748445449364,0.04166666666666655,0.2063367873519079,0.6453354862334,3.6413660049438477
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,0.16932610697418327,0.8649277072675577,0.18346677348156354,0.8860435220571697,0.31806765993092534,0.7549999999999994,0.07547169811320746,0.27364016736401675,0.6185293746413576,1.8330802917480469
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,0.10433231938246434,0.6375382873510215,0.18088788336327521,0.7300844785366198,0.25077353934193003,0.5912117177097199,0.03761755485893413,0.5708436312663692,0.7630536281034559,0.9770901203155518
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,0.005722212760384089,0.3287645922566557,0.007428208842090853,0.3295619060924951,0.021352101925824363,0.021705426356589126,0.002108592514496571,0.16955332725615316,0.567750679640333,1.3087193965911865
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,0.024293009644216993,0.37882897471189914,0.03108245742786247,0.4196133973642115,0.08175277039256358,0.10534351145038157,0.0050933786078098415,0.16108452950558214,0.5907357001369548,1.6096065044403076
012_MSL_id_11_Sensor_tr_539_1st_940.csv,0.41829778830653336,0.9646262436462624,0.43068322482030197,0.9658862781871873,0.5690327767789547,0.9140271493212664,0.296296296296296,0.5937248592115849,0.7648338004471781,1.1228878498077393
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,0.4852912541534824,0.9933323975294779,0.4887215666488905,0.9937208209599672,0.6176423356762566,0.9454545454545449,0.6666666666666661,0.6198830409356725,0.6559441218141028,1.5243213176727295
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,0.6966990546061579,0.9723794242532009,0.6830969619711097,0.975534442806892,0.6451562939744089,0.9999999999999996,0.9999999999999993,0.6308623298033283,0.8320842526944523,4.399642705917358
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,0.5314940768281867,0.8575660220178493,0.56214584916723,0.8790094081015453,0.48151625498296946,0.9999999999999996,0.9999999999999993,0.48133198789101916,0.8108059518401488,1.545762062072754
016_MSL_id_15_Sensor_tr_500_1st_780.csv,0.42772228055282685,0.9348504645760743,0.6773925257339777,0.9636244541888722,0.6540834872356623,0.814545454545454,0.21538461538461517,0.600382904774528,0.8631796019787525,0.5074987411499023
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,0.46121263570244253,0.9311166846096512,0.6256303971906059,0.9477733924316495,0.5950990846591082,0.9972451790633603,0.8888888888888881,0.5400165016501651,0.820218359521914,1.162355661392212
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,0.21183757291045627,0.83377175308253,0.21809742242978403,0.8371316031497382,0.31436555493428076,0.7496251874062964,0.12552301255230106,0.4015344470562646,0.7248184480540566,8.47095775604248
019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,0.2524348063421663,0.6673025925949707,0.24792096468739175,0.667942845109811,0.2803513457342474,0.9999999999999996,0.9999999999999993,0.3357776505937902,0.7414775652111697,20.36009120941162
020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,0.14883203803137982,0.6843301783858912,0.015300841091048668,0.6923001124780742,0.2187029839313869,0.6821900566393954,0.6666666666666661,0.24311183144246357,0.6163119423312915,118.19798469543457
021_MITDB_id_3_Medical_tr_50000_1st_57595.csv,0.26712411972810635,0.6404914699155764,0.2424600236975117,0.6538289795903605,0.3571493268214127,0.9858997314234551,0.4586666666666662,0.4555398593816654,0.686527348311073,91.4162368774414
022_MITDB_id_4_Medical_tr_50000_1st_54253.csv,0.22397838836220169,0.5371832778700768,0.18746155228334402,0.5622393956658125,0.29059773006351775,0.8322426721199722,0.43921568627450924,0.352175502345981,0.7856590661332515,57.37679409980774
024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,0.41926386202607346,0.7815225743125,0.08630761469349386,0.7844846080978226,0.5708461233060419,0.9999999999999996,0.9999999999999993,0.6818521284540702,0.6774952134625157,37.50412583351135
025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,0.7349796799373974,0.8971633802196364,0.7317656858840276,0.9091555723138823,0.7871946817736795,0.9999999999999996,0.9999999999999996,0.7484006517327729,0.744251272645164,23.25186038017273
026_MITDB_id_8_Medical_tr_30495_1st_30595.csv,0.30703853627681776,0.5943498156320884,0.3013816210000801,0.6152969557858653,0.3324834759003809,0.985693848354792,0.9789915966386549,0.459167757476997,0.7091046116696168,68.90296459197998
